,Xk1,Xk2,Xk3,Xk4,X
mean,20.63235294117647,19.720588235294116,19.745098039215687,19.49019607843137,79.6470588235294
std,2.0501392475283367,2.2372443762533583,2.3667893140402207,2.318912431187093,7.2296327284791335
