,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10,Tag11,Tag12,Tag13
mean,4.760461379364063,5.1033264803581835,4.616701069366404,4.142464281488008,4.429406901502549,,2.637304943846224,4.2823230731963235,3.770608502388733,2.792854894653744,,4.641842203683584,4.608503730400821
std,2.6601822394502372,2.2423100275634416,2.544882635848082,2.495153731883436,2.555519770674298,,2.2983677485675913,2.6675582241605125,2.0037840229432624,2.4033655694704046,,2.4021603041499193,2.4659963121071695
