,Xk1,Xk2,Xk3,Xk4,X
mean,20.46410803127221,19.99360341151386,20.196695095948826,19.817519545131486,80.20540156361052
std,2.2145192620273164,5.385829114045733,5.449948464001045,2.4253547932065525,7.522987229160926
