,Xk1,Xk2,Xk3,Xk4,X
mean,20.313725490196077,19.431372549019606,19.92156862745098,20.235294117647058,80.13725490196079
std,2.539802339680072,2.7600433497645973,2.5655572131444906,2.624083296846525,9.218522717436223
