,Xk1,Xk2,Xk3,Xk4,X
mean,19.92411924119241,19.233062330623305,19.15447154471545,19.043360433604335,77.39295392953929
std,2.0348423953361645,2.095262846157703,2.3398255337360276,2.4010534234319607,7.2907153489003065
