,Xk1,Xk2,Xk3,Xk4,X
mean,20.75586854460094,21.399061032863848,21.07511737089202,20.384976525821596,82.29577464788733
std,1.9225681722856216,12.108096816098397,6.7701353729039075,2.1388776892103984,6.101783852608858
