,Xk1,Xk2,Xk3,Xk4,X
mean,18.822916666666668,18.395833333333332,18.708333333333332,18.427083333333332,74.35416666666667
std,2.3273500294803577,2.094035013768607,2.056071631912555,2.1541858074584828,6.890481306765798
