,Xk1,Xk2,Xk3,Xk4,X
mean,20.609375,20.171875,19.958333333333332,19.880208333333332,80.609375
std,2.214656581965174,2.1881881358119855,2.272648357215774,2.3231677274640665,7.5040624848172515
